id,created_date,modified_date,is_deleted,mark,name,user_id,car_detail_id,image_id,car_brand_id,car_model_id,pinned,order
3807169,2023-03-16 17:19:34.627488+00,2023-03-16 17:19:34.627541+00,f,ВАЗ (Lada),2107,2056883,2881490,17120582,80,486,f,1
3304197,2023-02-05 18:35:23.188678+00,2023-02-05 18:35:23.188705+00,f,Chevrolet,tracker 2,1858606,2881217,18940943,12,,f,2
3902360,2023-03-25 13:35:39.682078+00,2023-03-25 13:35:39.682109+00,f,Chevrolet,Tracker,1920350,2881217,18110978,12,137,f,1
3400480,2023-02-10 11:13:32.141428+00,2023-02-10 11:13:32.141523+00,f,Chevrolet,Lacetti,1884540,2881233,,12,119,f,1
3304223,2023-02-05 18:39:53.63139+00,2023-02-05 18:39:53.63142+00,f,LACETTI,Gentra,1859167,2881233,,,120,f,1
3317109,2023-02-07 03:09:32.17346+00,2023-02-07 03:09:32.173528+00,f,Chevrolet,Nexia 3,1795515,2881233,,12,129,f,3
3304109,2023-02-05 18:19:56.073594+00,2023-02-05 18:19:56.073653+00,f,Chevrolet,Damas,1859115,2881147,13900047,12,114,f,1
3304686,2023-02-05 22:12:39.632384+00,2023-02-05 22:12:39.632414+00,f,Chevrolet,Nexia 3,1859382,2881544,,12,129,f,1
3304200,2023-02-05 18:36:06.956947+00,2023-02-05 18:36:06.956981+00,f,ВАЗ (Lada),2101,1859139,2881220,13900171,80,480,f,1
3427459,2023-02-12 15:27:47.858462+00,2023-02-12 15:27:47.858505+00,f,Chevrolet,Nexia 2,1894708,2881786,14416708,12,128,f,1
3305040,2023-02-06 02:58:45.58212+00,2023-02-06 02:58:45.582206+00,f,Chevrolet,Nexia 2,579898,2881786,,12,128,f,3
3545348,2023-02-22 07:29:50.106801+00,2023-02-22 07:29:50.106845+00,f,Chevrolet,Gentra,1942863,2881764,,12,120,f,1
3305007,2023-02-06 02:51:30.256311+00,2023-02-06 02:51:30.256366+00,f,Chevrolet,Gentra,1859558,2881764,,12,120,f,4
3303956,2023-02-05 17:50:38.140593+00,2023-02-05 17:50:38.140627+00,f,Chevrolet,Nexia 3,482670,2881042,,12,129,f,2
3994602,2023-04-01 14:38:57.05647+00,2023-04-01 14:38:57.056544+00,f,Chevrolet,Matiz,2139017,2881882,,12,125,f,3
3305174,2023-02-06 03:21:53.414464+00,2023-02-18 13:18:19.771864+00,t,Chevrolet,Matiz,259944,2881882,,12,125,f,12
3304280,2023-02-05 18:52:29.489338+00,2023-02-05 18:52:29.4894+00,f,Daewoo,Nexia,941126,2881270,,16,167,f,1
3759018,2023-03-12 15:56:50.994167+00,2023-03-12 15:56:50.994281+00,f,Chevrolet,Nexia 2,292306,2881624,,12,128,f,3
3304783,2023-02-06 01:22:17.546389+00,2023-02-06 01:22:17.546433+00,f,Chevrolet,Nexia 2,1859445,2881624,,12,128,f,2
3304166,2023-02-05 18:30:24.100741+00,2023-02-05 18:30:24.100768+00,f,Chevrolet,Damas,1859129,2881192,13900133,12,114,f,1
3314306,2023-02-06 15:34:44.480785+00,2023-02-06 15:34:44.480837+00,f,Chevrolet,Spark,309036,2881315,,12,133,f,1
3828464,2023-03-18 17:20:32.359767+00,2023-03-18 17:20:32.359841+00,f,Chevrolet,Nexia 2,2066284,3255628,17342230,12,128,f,1
3305262,2023-02-06 03:34:20.324062+00,2023-02-06 03:34:20.32411+00,f,Chevrolet,Gentra,1851058,2881948,13901745,12,120,f,1
3693437,2023-03-07 01:13:24.849987+00,2023-03-07 13:50:43.142275+00,t,Chevrolet,Cobalt,885237,2881491,,12,111,f,1
3304608,2023-02-05 20:45:45.882782+00,2023-02-05 20:45:45.882814+00,f,Chevrolet,Cobalt,1859334,2881491,,12,111,f,1
3305170,2023-02-06 03:20:54.236751+00,2023-02-06 03:20:54.236796+00,f,ВАЗ (Lada),2106,1856467,2881878,,80,485,f,1
3305028,2023-02-06 02:55:09.324674+00,2023-02-06 02:55:09.324703+00,f,Daewoo,Matiz (Standart),1859556,2881778,,16,163,f,1
